sep=;
Device ID;LBR-0013797;;
Series No;0049
Shot No;0006

Time (s);Vel (fps);Dist (m);SNR
0.000000;2467.22;0.00;-
0.008021;2456.00;6.00;38.88
0.009021;2455.63;6.75;37.71
0.010021;2454.45;7.50;37.06
0.011021;2453.71;8.25;35.91
0.012021;2453.24;8.99;35.49
0.013021;2450.91;9.74;35.15
0.014021;2450.52;10.49;34.67
0.015021;2447.12;11.23;34.77
0.016021;2445.97;11.98;33.93
0.017021;2450.88;12.73;33.09
0.018021;2440.12;13.47;33.84
0.019021;2445.29;14.22;29.22
0.020021;2439.81;14.96;35.39
0.021021;2448.45;15.71;24.57
0.022021;2438.63;16.45;32.22
0.023021;2438.27;17.19;33.02
0.024021;2440.65;17.94;21.46
0.025021;2437.71;18.68;23.79
0.026021;2433.23;19.42;35.02
0.027021;2429.17;20.16;29.74
0.028021;2429.20;20.90;28.40
0.029021;2423.51;21.64;20.71
0.030021;2429.86;22.38;28.67
0.031021;2431.67;23.12;28.64
0.032021;2432.16;23.87;25.18
0.033021;2430.25;24.61;26.30
0.034021;2429.47;25.35;24.03
0.035021;2431.95;26.09;18.10
0.036021;2426.54;26.83;21.48
0.037021;2426.94;27.57;22.41
0.038021;2426.15;28.31;18.74
0.039021;2424.41;29.05;18.44
0.040021;2423.29;29.79;24.85
0.041021;2419.11;30.52;25.55
0.042021;2418.54;31.26;23.53
0.043021;2418.35;32.00;14.77
0.044021;2417.98;32.74;11.44
0.045021;2417.50;33.47;17.63
0.046021;2415.25;34.21;17.09
0.047021;2417.15;34.95;12.58
0.048021;2414.24;35.68;18.54
0.049021;2411.16;36.42;20.78
0.050021;2409.06;37.15;18.52
0.051021;2402.95;37.89;17.97
0.052021;2408.97;38.62;20.29
0.053021;2410.62;39.35;21.49
0.054021;2408.40;40.09;24.68
0.055021;2403.86;40.82;27.25
0.056021;2404.70;41.55;26.09
0.057021;2402.90;42.29;24.59
0.058021;2404.95;43.02;18.43
0.059021;2400.93;43.75;15.31
0.060021;2397.28;44.48;14.34
0.061021;2400.30;45.21;15.75
0.062021;2395.27;45.94;15.89
0.063021;2395.33;46.67;7.99
0.064021;2400.24;47.41;8.41
0.065021;2392.89;48.14;8.94
0.066021;2399.01;48.87;10.70
0.067021;2390.22;49.60;8.63
0.069021;2398.87;51.06;11.41
0.070021;2385.42;51.79;10.75
0.071021;2391.10;52.51;13.26
0.072021;2389.33;53.24;16.51
0.073021;2386.48;53.97;15.16
0.074021;2388.41;54.70;13.75
0.075021;2389.64;55.43;14.30
0.076021;2385.59;56.15;16.29
0.077021;2380.74;56.88;14.89
0.078021;2379.96;57.60;12.21
0.079021;2377.99;58.33;10.99
0.080021;2378.37;59.05;12.10
0.081021;2379.21;59.78;9.79
