sep=;
Device ID;LBR-0013797;;
Series No;0012
Shot No;0002

Time (s);Vel (fps);Dist (m);SNR
0.000000;2447.25;0.00;-
0.008021;2438.29;5.96;36.65
0.009021;2437.60;6.71;29.90
0.010021;2436.37;7.45;34.97
0.011021;2435.50;8.19;29.96
0.012021;2433.99;8.93;33.09
0.013021;2433.32;9.68;32.42
0.014021;2432.24;10.42;31.47
0.015021;2430.92;11.16;31.84
0.016021;2429.64;11.90;30.92
0.017021;2428.77;12.64;29.78
0.018021;2427.01;13.38;28.52
0.019021;2425.99;14.12;28.81
0.020021;2425.54;14.86;28.29
0.021021;2423.54;15.60;27.73
0.022021;2425.43;16.34;25.13
0.023021;2422.29;17.08;26.46
0.024021;2421.08;17.81;26.28
0.025021;2420.31;18.55;24.88
0.026021;2420.30;19.29;23.80
0.027021;2418.70;20.03;24.58
0.028021;2419.10;20.76;24.22
0.029021;2416.56;21.50;23.41
0.030021;2414.10;22.24;22.57
0.031021;2416.86;22.97;16.15
0.032021;2409.64;23.71;23.23
0.033021;2416.71;24.44;19.39
0.034021;2408.74;25.18;23.74
0.035021;2412.54;25.91;20.55
0.036021;2410.27;26.65;21.39
0.037021;2411.42;27.38;20.80
0.038021;2406.63;28.12;17.68
0.039021;2405.77;28.85;12.95
0.040021;2406.20;29.59;13.94
0.041021;2404.90;30.32;16.00
0.042021;2401.79;31.05;21.53
0.043021;2402.20;31.78;19.39
0.044021;2401.21;32.51;13.85
0.045021;2400.59;33.25;14.49
0.046021;2400.17;33.98;14.84
0.047021;2395.07;34.71;15.70
0.048021;2396.98;35.44;14.44
0.049021;2396.14;36.17;15.53
0.050021;2398.31;36.90;14.05
0.051021;2392.47;37.63;16.14
0.052021;2391.70;38.36;17.13
0.053021;2389.67;39.09;18.04
0.054021;2390.95;39.82;17.37
0.055021;2387.28;40.55;17.89
0.056021;2388.18;41.27;18.58
0.057021;2390.27;42.00;15.12
0.058021;2388.80;42.73;12.03
0.059021;2386.64;43.46;10.85
0.060021;2384.83;44.18;8.09
0.065021;2376.07;47.81;7.18
0.066021;2373.12;48.54;9.30
0.070021;2377.19;51.43;14.28
0.071021;2370.07;52.16;14.51
0.072021;2369.13;52.88;13.93
0.073021;2366.80;53.60;16.01
0.074021;2367.37;54.32;16.71
0.075021;2369.29;55.04;16.44
0.076021;2369.91;55.77;15.19
0.077021;2368.17;56.49;12.75
0.078021;2365.57;57.21;15.30
0.079021;2364.87;57.93;13.58
0.080021;2357.76;58.65;13.21
0.081021;2362.20;59.37;15.44
