row_id,id,event_date,firearm_name,range_name,rounds_fired,ammo_description,notes,created,modified
230,01KWG95NRWWK60RTC0GPAET3HD,2018-11-04 20:05:22.0754558,G41,Phoenix,200,"CamPro 230gr, 6.1gr 800-X",Practiced out to 15m mostly.,2026-07-02 02:05:22.0763413+00:00,2026-07-02 02:05:22.0763434+00:00
231,01KWG95NRXA4Y62HNW1RJ9HFD6,2018-11-04 20:05:22.0766435,G41,Phoenix,25,"CamPro 230gr, 4.5gr Hp-38",Trying out new load.  Like this; seemed more accurate than the 800-X,2026-07-02 02:05:22.0777578+00:00,2026-07-02 02:05:22.0777596+00:00
232,01KWG95NRYHEWXW19KGBZ1YX3V,2018-11-08 20:05:22.077992,G41,Phoenix,170,"CamPro 230gr, 6.1gr 800-X","",2026-07-02 02:05:22.0787024+00:00,2026-07-02 02:05:22.078704+00:00
233,01KWG95NRZCAVMC46YMBE0JBQA,2018-11-15 20:05:22.0790235,G41,Phoenix,170,"CamPro 230gr, 6.1gr 800-X",Draw & fire @ 7 yards.  Slow & accurate.  Long range shots,2026-07-02 02:05:22.079763+00:00,2026-07-02 02:05:22.0797646+00:00
234,01KWG95NS0NRQCX3ZBM038JCXP,2018-11-18 20:05:22.0799906,Israeli 98k,SPFGA,37,"Assorted handloads, 150gr & 125 gr",Testing the reformed brass.,2026-07-02 02:05:22.0806192+00:00,2026-07-02 02:05:22.0806208+00:00
235,01KWG95NS1TCEV39HN7EWSNXEY,2018-12-02 20:05:22.080832,MDI SLR,SPFGA,72,"55gr CamPro, 24.5gr H4895","Zeroing the Strikefire, blasting",2026-07-02 02:05:22.0811469+00:00,2026-07-02 02:05:22.0811485+00:00
236,01KWG95NS2X26SAZPZSADYPNPC,2018-12-08 20:05:22.0813881,M305,CHAS,60,147gr Handloads,3-gun,2026-07-02 02:05:22.0822809+00:00,2026-07-02 02:05:22.0822824+00:00
237,01KWG95NS3E12KS57KM084K1TX,2018-12-08 20:05:22.0825107,G41,CHAS,70,"230gr CamPro, 6.1gr 800-X",3-gun,2026-07-02 02:05:22.0833664+00:00,2026-07-02 02:05:22.0833683+00:00
238,01KWG95NS466QASWY9NQHMK4CW,2018-12-08 20:05:22.0836855,Winchester SXP,CHAS,3,Challenger #7.5,"3-gun, shotgun doesn't feed properly.",2026-07-02 02:05:22.0840836+00:00,2026-07-02 02:05:22.0840851+00:00
239,01KWG95NS466QASWY9NQHMK4D4,2019-01-27 20:05:22.0843156,G17,Phoenix,250,124gr CamPro; 4.5gr HP-38,Confirming zero of RMR.,2026-07-02 02:05:22.0848348+00:00,2026-07-02 02:05:22.0848363+00:00
240,01KWG95NS5TKJ0G84MW4ZGWHBP,2019-02-18 20:05:22.0850514,G41,Phoenix,120,"230gr Campro, 6.0gr 800-X","Focus drill @ 5 yards. Can blow out 2"""" circle if going slow.",2026-07-02 02:05:22.0858199+00:00,2026-07-02 02:05:22.0858215+00:00
241,01KWG95NS79AVJASA9749XJ3JN,2019-02-25 20:05:22.0860737,G41,Phoenix,150,"230gr Campro, 6.0gr 800-X","Focus drills @ 3,5, & yards.  Start at 6 yards next time",2026-07-02 02:05:22.0872299+00:00,2026-07-02 02:05:22.0872321+00:00
242,01KWG95NS8QWQC7747QBX9HVNJ,2019-02-27 20:05:22.0874746,G41,Phoenix,150,"230gr Campro, 6.0gr 800-X",Focus drills @ 6  yards.  Start at 8 yards next time,2026-07-02 02:05:22.0883367+00:00,2026-07-02 02:05:22.0883384+00:00
