sep=;
Device ID;LBR0013797202206060629;;

Series No;#006;;
Total number of shots;0010;;

Units velocity;fps;;
Units distances;m;;
Units kinetic energy;ft-lbf;;
Units weight;grain;;

Stats - Average;2358.78;fps;
Stats - Highest;2411.23;fps;
Stats - Lowest;2318.76;fps;
Stats - Ext. Spread;92.48;fps;
Stats - Std. Dev;28.42;fps;

Shot ID;V0;V10.00;V20.00;V30.00;V40.00;V50.00;Ke0;Ke10.00;Ke20.00;Ke30.00;Ke40.00;Ke50.00;PF10.00;Proj. Weight;Date;Time
0001;2361.30;2336.81;2312.64;2291.36;2267.89;2244.45;2228.13;2182.16;2137.24;2098.10;2055.34;2013.07;420.66;180.00;2023-10-29;15:56:12;
0002;2357.72;2332.95;2307.77;2284.27;2257.57;2235.01;2221.38;2174.94;2128.26;2085.13;2036.68;1996.18;419.94;180.00;2023-10-29;15:56:43;
0003;2358.13;2330.21;2304.28;2279.54;2254.72;2229.41;2222.15;2169.86;2121.82;2076.50;2031.53;1986.18;419.40;180.00;2023-10-29;15:57:14;
0004;2343.92;2320.06;2295.73;2274.42;2250.02;2228.19;2195.45;2150.98;2106.10;2067.18;2023.07;1984.01;417.60;180.00;2023-10-29;15:57:52;
0005;2396.03;2371.24;2346.45;2322.69;2298.11;2274.10;2294.16;2246.93;2200.19;2155.87;2110.48;2066.61;426.78;180.00;2023-10-29;15:58:20;
0006;2359.00;2333.18;2307.32;2282.85;2258.73;2232.19;2223.79;2175.38;2127.42;2082.54;2038.77;1991.14;419.94;180.00;2023-10-29;15:58:51;
0007;2358.96;2335.36;2311.82;2289.25;2267.23;2244.51;2223.72;2179.45;2135.73;2094.24;2054.14;2013.17;420.30;180.00;2023-10-29;15:59:36;
0008;2411.23;2383.64;2357.81;2334.99;2310.45;2288.53;2323.36;2270.50;2221.56;2178.76;2133.21;2092.92;429.12;180.00;2023-10-29;16:00:04;
0009;2318.76;2293.67;2268.25;2243.64;2220.17;2194.88;2148.57;2102.33;2055.98;2011.62;1969.75;1925.14;412.92;180.00;2023-10-29;16:00:30;
0010;2322.75;2296.55;2272.38;2250.14;2226.52;2202.50;2155.98;2107.62;2063.48;2023.30;1981.03;1938.53;413.46;180.00;2023-10-29;16:00:56;
