sep=;
Device ID;LBR-0013797;;
Series No;0010
Shot No;0006

Time (s);Vel (fps);Dist (m);SNR
0.000000;2653.34;0.00;-
0.007021;2645.88;5.67;34.54
0.008021;2644.81;6.47;34.54
0.009021;2644.09;7.28;33.91
0.010021;2643.09;8.08;32.63
0.011021;2642.18;8.89;33.90
0.012021;2641.75;9.70;31.55
0.013021;2640.22;10.50;32.40
0.014021;2638.89;11.30;31.89
0.015021;2637.59;12.11;30.15
0.016021;2634.89;12.91;30.12
0.017021;2635.25;13.72;28.33
0.018021;2633.13;14.52;29.21
0.019021;2635.10;15.32;26.65
0.020021;2633.30;16.12;27.48
0.021021;2632.15;16.93;26.40
0.022021;2631.25;17.73;25.59
0.023021;2631.11;18.53;25.24
0.024021;2630.95;19.33;25.56
0.025021;2627.75;20.13;26.28
0.026021;2626.25;20.93;25.87
0.027021;2625.01;21.74;21.19
0.028021;2622.14;22.53;24.15
0.029021;2625.29;23.33;20.36
0.030021;2620.13;24.13;25.08
0.031021;2623.80;24.93;21.54
0.032021;2620.11;25.73;22.16
0.033021;2619.57;26.53;22.33
0.034021;2617.08;27.33;19.85
0.035021;2619.62;28.13;18.78
0.036021;2619.85;28.93;17.91
0.037021;2615.41;29.72;22.47
0.038021;2612.62;30.52;21.14
0.039021;2615.42;31.32;17.42
0.040021;2614.82;32.11;17.03
0.041021;2611.76;32.91;16.30
0.042021;2609.84;33.71;15.41
0.043021;2608.08;34.50;14.03
0.044021;2612.54;35.30;12.09
0.045021;2608.05;36.09;12.77
0.046021;2606.08;36.89;16.47
0.047021;2607.20;37.68;19.86
0.048021;2605.70;38.48;18.94
0.049021;2603.02;39.27;19.14
0.050021;2601.67;40.06;20.60
0.051021;2601.70;40.86;18.42
0.052021;2599.73;41.65;15.73
0.053021;2598.56;42.44;7.15
0.056021;2603.76;44.82;7.38
0.057021;2597.26;45.61;12.23
0.059021;2590.81;47.19;11.83
0.060021;2594.67;47.98;10.00
0.063021;2587.25;50.35;8.84
0.064021;2591.42;51.14;13.04
0.065021;2587.01;51.93;17.72
0.066021;2587.14;52.72;18.37
0.067021;2585.57;53.51;20.70
0.068021;2585.70;54.30;20.16
0.069021;2583.31;55.08;20.32
0.070021;2581.95;55.87;18.41
0.071021;2582.21;56.66;18.40
0.072021;2579.26;57.45;15.35
0.073021;2580.49;58.23;16.70
0.074021;2579.98;59.02;15.22
0.075021;2574.24;59.80;13.49
