sep=;
Device ID;LBR-0013797;;
Series No;0009
Shot No;0004

Time (s);Vel (fps);Dist (m);SNR
0.000000;2593.54;0.00;-
0.006021;2587.27;4.75;24.92
0.007021;2586.31;5.54;24.52
0.008021;2584.83;6.33;24.12
0.009021;2583.98;7.12;24.95
0.010021;2583.82;7.90;24.03
0.011021;2581.99;8.69;24.52
0.012021;2581.55;9.48;23.63
0.013021;2580.39;10.26;23.29
0.014021;2577.84;11.05;22.74
0.015021;2576.90;11.84;22.84
0.016021;2576.79;12.62;21.97
0.017021;2576.79;13.41;21.54
0.018021;2577.46;14.19;20.03
0.019021;2573.86;14.98;19.80
0.020021;2575.19;15.76;18.00
0.021021;2573.56;16.55;18.47
0.022021;2572.51;17.33;19.12
0.023021;2570.81;18.11;18.04
0.024021;2570.17;18.90;15.73
0.025021;2568.24;19.68;19.62
0.026021;2567.06;20.46;17.27
0.027021;2565.89;21.25;17.62
0.028021;2570.20;22.03;13.72
0.029021;2562.61;22.81;16.83
0.030021;2564.05;23.59;13.39
0.031021;2562.81;24.37;16.56
0.032021;2560.17;25.15;14.66
0.033021;2563.03;25.93;13.48
0.034021;2559.56;26.72;15.24
0.035021;2556.39;27.50;12.09
0.036021;2561.66;28.28;7.60
0.038021;2557.60;29.84;14.31
0.039021;2556.34;30.61;14.87
0.040021;2552.50;31.39;14.69
0.041021;2559.26;32.17;8.21
0.045021;2551.19;35.29;10.50
0.048021;2546.43;37.62;13.66
0.049021;2539.11;38.39;11.97
0.050021;2539.59;39.17;13.38
0.051021;2542.63;39.94;12.58
0.052021;2543.79;40.72;15.26
0.053021;2544.14;41.49;13.16
0.054021;2546.86;42.27;7.83
0.055021;2542.76;43.04;10.57
0.060021;2539.46;46.92;8.87
0.062021;2533.07;48.46;10.18
0.069021;2528.63;53.86;9.15
0.070021;2525.94;54.63;11.82
0.071021;2520.39;55.40;14.02
0.072021;2521.85;56.17;8.73
0.073021;2521.41;56.94;13.18
0.074021;2526.45;57.71;13.44
0.075021;2517.42;58.48;14.77
0.076021;2519.92;59.24;7.74
