sep=;
Device ID;LBR-0013797;;
Series No;0001
Shot No;0005

Time (s);Vel (fps);Dist (m);SNR
0.000000;2523.93;0.00;-
0.007021;2514.02;5.37;33.25
0.008021;2509.64;6.14;40.47
0.009021;2509.47;6.90;39.92
0.010021;2509.24;7.67;37.63
0.011021;2506.37;8.43;36.29
0.012021;2501.83;9.19;35.30
0.013021;2503.90;9.96;33.27
0.014021;2502.08;10.72;35.32
0.015021;2505.48;11.48;30.34
0.016021;2498.63;12.25;33.99
0.017021;2504.45;13.01;27.89
0.018021;2496.65;13.77;33.27
0.019021;2493.82;14.53;32.09
0.020021;2495.70;15.29;24.63
0.021021;2492.24;16.05;32.03
0.022021;2495.74;16.81;28.06
0.023021;2496.05;17.57;23.30
0.024021;2494.39;18.33;23.28
0.025021;2492.45;19.09;26.35
0.026021;2490.08;19.85;25.58
0.027021;2490.17;20.61;25.02
0.028021;2487.70;21.37;26.08
0.029021;2489.50;22.13;19.75
0.030021;2483.24;22.89;24.00
0.031021;2487.64;23.64;19.70
0.032021;2482.95;24.40;22.56
0.033021;2481.85;25.16;24.05
0.034021;2481.27;25.92;21.64
0.035021;2480.27;26.67;21.24
0.036021;2479.92;27.43;19.16
0.037021;2476.99;28.18;19.64
0.038021;2478.06;28.94;16.76
0.039021;2478.00;29.69;17.22
0.040021;2472.61;30.45;16.23
0.041021;2476.69;31.20;14.51
0.042021;2474.61;31.96;11.17
0.043021;2470.65;32.71;15.64
0.044021;2469.18;33.46;21.24
0.045021;2468.82;34.22;23.21
0.046021;2467.49;34.97;21.57
0.047021;2466.76;35.72;16.19
0.048021;2464.42;36.47;11.19
0.049021;2477.91;37.22;10.15
0.051021;2464.77;38.73;7.19
0.052021;2459.39;39.48;11.14
0.053021;2463.82;40.23;7.84
0.054021;2458.21;40.98;8.09
0.055021;2456.92;41.73;13.75
0.057021;2449.58;43.23;10.05
0.058021;2456.09;43.97;13.43
0.059021;2450.90;44.72;17.52
0.060021;2453.68;45.47;18.37
0.061021;2450.85;46.22;18.48
0.062021;2451.98;46.96;17.36
0.063021;2448.71;47.71;15.64
0.064021;2449.41;48.46;13.79
0.065021;2448.77;49.20;9.98
0.066021;2446.98;49.95;13.48
0.067021;2449.96;50.70;10.93
0.068021;2442.88;51.44;9.46
0.070021;2434.37;52.93;9.23
0.073021;2437.50;55.16;7.13
0.078021;2433.07;58.87;8.38
