sep=;
Device ID;LBR-0013797;;
Series No;0046
Shot No;0005

Time (s);Vel (fps);Dist (m);SNR
0.000000;2437.25;0.00;-
0.008021;2426.10;5.93;39.08
0.009021;2425.20;6.67;37.08
0.010021;2424.13;7.41;37.15
0.011021;2423.48;8.15;36.68
0.012021;2422.76;8.89;35.21
0.013021;2420.42;9.63;35.15
0.014021;2419.80;10.36;34.30
0.015021;2417.51;11.10;34.31
0.016021;2417.55;11.84;32.92
0.017021;2418.12;12.58;30.07
0.018021;2409.23;13.31;33.34
0.019021;2418.71;14.05;25.96
0.020021;2409.45;14.78;33.70
0.021021;2411.19;15.52;28.05
0.022021;2412.09;16.25;24.22
0.023021;2406.32;16.99;30.47
0.024021;2405.68;17.72;28.02
0.025021;2405.69;18.45;19.65
0.026021;2400.71;19.19;26.11
0.027021;2400.66;19.92;33.26
0.028021;2403.35;20.65;23.45
0.029021;2398.66;21.38;25.37
0.030021;2390.28;22.11;16.31
0.031021;2397.19;22.84;23.71
0.032021;2397.38;23.57;26.26
0.033021;2400.05;24.30;23.58
0.034021;2396.06;25.03;22.36
0.035021;2392.47;25.76;21.97
0.036021;2390.92;26.49;18.51
0.037021;2389.60;27.22;16.37
0.038021;2390.87;27.95;19.99
0.039021;2390.94;28.68;21.00
0.040021;2391.20;29.41;18.49
0.041021;2389.13;30.14;16.96
0.042021;2387.70;30.86;18.18
0.043021;2383.21;31.59;23.03
0.044021;2384.31;32.32;18.62
0.045021;2388.84;33.04;13.25
0.046021;2385.14;33.77;10.39
0.047021;2380.25;34.50;17.45
0.048021;2379.07;35.22;21.90
0.049021;2370.40;35.95;14.45
0.050021;2377.33;36.67;17.06
0.051021;2373.24;37.40;19.21
0.052021;2373.49;38.12;20.53
0.053021;2372.85;38.84;15.50
0.054021;2369.10;39.56;9.01
0.055021;2368.44;40.29;15.17
0.056021;2367.43;41.01;21.33
0.057021;2367.80;41.73;23.71
0.058021;2367.94;42.45;23.43
0.059021;2367.11;43.17;19.13
0.060021;2367.40;43.89;19.10
0.061021;2367.82;44.62;14.89
0.062021;2363.75;45.34;17.32
0.063021;2362.02;46.06;18.62
0.064021;2360.61;46.78;19.84
0.065021;2359.07;47.50;15.18
0.066021;2358.13;48.22;14.47
0.067021;2351.92;48.93;10.23
0.072021;2364.74;52.53;8.01
0.074021;2350.28;53.96;13.16
0.075021;2353.98;54.68;8.49
0.076021;2347.97;55.40;7.81
0.077021;2340.96;56.11;10.42
0.078021;2352.22;56.83;8.58
0.079021;2343.83;57.54;10.25
0.080021;2348.23;58.26;13.24
0.081021;2341.88;58.97;11.12
0.082021;2340.36;59.69;8.34
