sep=;
Device ID;LBR-0013797;;
Series No;0001
Shot No;0003

Time (s);Vel (fps);Dist (m);SNR
0.000000;2526.45;0.00;-
0.007021;2511.20;5.37;35.90
0.008021;2518.42;6.14;31.69
0.009021;2509.05;6.91;39.62
0.010021;2509.04;7.67;39.04
0.011021;2507.34;8.44;35.48
0.012021;2502.35;9.20;36.99
0.013021;2505.52;9.96;34.40
0.014021;2501.21;10.73;36.30
0.015021;2505.59;11.49;31.71
0.016021;2499.31;12.25;34.93
0.017021;2502.90;13.01;31.60
0.018021;2497.25;13.78;33.98
0.019021;2492.87;14.54;36.30
0.020021;2501.81;15.30;21.30
0.021021;2492.83;16.06;32.93
0.022021;2493.26;16.82;32.30
0.023021;2494.79;17.58;26.32
0.024021;2494.90;18.34;24.90
0.025021;2490.43;19.10;26.02
0.026021;2489.25;19.86;27.75
0.027021;2489.58;20.62;27.33
0.028021;2486.78;21.38;26.47
0.029021;2485.44;22.13;26.90
0.030021;2487.71;22.89;21.33
0.031021;2483.71;23.65;24.87
0.032021;2484.51;24.41;20.35
0.033021;2481.46;25.16;20.51
0.034021;2480.06;25.92;24.60
0.035021;2479.14;26.67;24.39
0.036021;2479.29;27.43;23.45
0.037021;2478.86;28.19;21.68
0.038021;2476.20;28.94;21.06
0.039021;2475.60;29.70;19.42
0.040021;2474.20;30.45;18.78
0.041021;2472.51;31.20;18.44
0.042021;2472.66;31.96;16.39
0.043021;2470.61;32.71;15.45
0.044021;2469.14;33.46;12.54
0.045021;2469.12;34.22;11.81
0.046021;2468.29;34.97;18.79
0.047021;2463.39;35.72;24.25
0.048021;2463.15;36.47;23.43
0.049021;2464.40;37.22;21.75
0.050021;2461.03;37.97;22.08
0.051021;2459.09;38.72;16.82
0.054021;2458.28;40.97;10.79
0.055021;2453.48;41.72;8.16
0.056021;2456.21;42.47;15.88
0.057021;2453.51;43.22;15.31
0.058021;2460.55;43.96;13.89
0.059021;2449.81;44.71;9.01
0.061021;2448.52;46.21;13.28
0.062021;2449.41;46.95;15.97
0.063021;2449.86;47.70;16.48
0.064021;2443.79;48.44;15.21
0.065021;2448.02;49.19;15.28
0.066021;2446.72;49.94;16.86
0.067021;2444.06;50.68;16.43
0.068021;2443.41;51.43;17.99
0.069021;2442.13;52.17;19.49
0.070021;2440.08;52.92;19.18
0.071021;2439.02;53.66;17.19
0.072021;2436.80;54.40;17.00
0.073021;2437.05;55.14;14.40
0.074021;2434.72;55.89;14.35
0.075021;2437.30;56.63;13.69
0.076021;2437.91;57.37;10.02
0.078021;2430.37;58.86;13.69
0.079021;2424.65;59.60;10.66
