sep=;
Device ID;LBR-0013797;;
Series No;0043
Shot No;0014

Time (s);Vel (fps);Dist (m);SNR
0.000000;2571.63;0.00;-
0.007021;2555.61;5.48;38.93
0.008021;2551.22;6.26;40.83
0.009021;2550.26;7.03;43.97
0.010021;2549.50;7.81;46.49
0.011021;2552.22;8.59;33.09
0.012021;2544.96;9.37;40.93
0.013021;2542.54;10.14;40.58
0.014021;2540.34;10.92;40.45
0.015021;2538.06;11.69;39.59
0.016021;2536.12;12.46;38.18
0.017021;2533.97;13.24;37.06
0.018021;2531.53;14.01;36.16
0.019021;2529.31;14.78;35.42
0.020021;2527.06;15.55;34.03
0.021021;2524.89;16.32;33.84
0.022021;2522.42;17.09;33.09
0.023021;2520.61;17.86;33.22
0.024021;2518.51;18.63;32.15
0.025021;2515.63;19.39;30.39
0.026021;2513.89;20.16;30.52
0.027021;2510.90;20.93;30.62
0.028021;2509.10;21.69;29.69
0.029021;2506.65;22.45;29.30
0.030021;2504.11;23.22;26.80
0.031021;2502.95;23.98;28.14
0.032021;2500.01;24.74;27.91
0.033021;2498.12;25.51;27.06
0.034021;2495.50;26.27;24.90
0.035021;2493.18;27.03;24.69
0.036021;2491.59;27.79;24.62
0.037021;2489.20;28.55;24.98
0.038021;2486.03;29.30;23.08
0.039021;2484.21;30.06;22.84
0.040021;2482.53;30.82;22.53
0.041021;2479.49;31.57;22.26
0.042021;2478.37;32.33;22.24
0.043021;2474.69;33.08;21.79
0.044021;2474.31;33.84;19.81
0.045021;2472.31;34.59;19.52
0.046021;2468.22;35.35;19.93
0.047021;2467.46;36.10;19.54
0.048021;2463.29;36.85;17.99
0.049021;2464.04;37.60;19.36
0.050021;2459.56;38.35;19.11
0.051021;2457.39;39.10;18.41
0.052021;2452.53;39.85;13.45
0.053021;2454.64;40.60;18.69
0.054021;2448.41;41.34;14.96
0.055021;2445.80;42.09;15.67
0.056021;2445.11;42.83;14.00
0.057021;2448.57;43.58;13.51
0.058021;2440.84;44.33;14.72
0.059021;2440.65;45.07;15.30
0.060021;2439.02;45.81;10.17
0.061021;2433.40;46.56;8.32
0.063021;2432.15;48.04;13.98
0.064021;2429.19;48.78;13.42
0.065021;2429.90;49.52;11.81
0.066021;2428.28;50.26;10.00
0.067021;2420.82;51.00;12.76
0.068021;2429.44;51.74;12.94
0.069021;2417.69;52.48;13.60
0.070021;2417.16;53.21;13.19
0.071021;2408.60;53.95;10.53
0.073021;2409.20;55.42;9.53
0.074021;2408.86;56.15;13.85
0.076021;2400.52;57.62;10.31
0.077021;2398.95;58.35;13.81
0.078021;2400.25;59.08;13.35
0.079021;2397.83;59.81;14.22
