sep=;
Device ID;LBR-0013797;;
Series No;0044
Shot No;0005

Time (s);Vel (fps);Dist (m);SNR
0.000000;2434.03;0.00;-
0.008021;2420.64;5.93;32.65
0.009021;2419.14;6.66;36.92
0.010021;2416.60;7.40;33.48
0.011021;2415.98;8.14;33.53
0.012021;2413.53;8.87;32.93
0.013021;2412.23;9.61;31.79
0.014021;2410.61;10.34;30.35
0.015021;2408.78;11.08;29.77
0.016021;2407.68;11.81;28.48
0.017021;2406.15;12.55;28.07
0.018021;2403.67;13.28;25.90
0.019021;2404.59;14.01;21.93
0.020021;2400.87;14.74;23.43
0.021021;2399.68;15.48;23.73
0.022021;2397.24;16.21;23.07
0.023021;2396.34;16.94;21.73
0.024021;2393.47;17.67;19.80
0.025021;2390.99;18.40;19.70
0.026021;2391.57;19.12;19.78
0.027021;2389.46;19.85;18.40
0.028021;2387.20;20.58;16.99
0.029021;2385.07;21.31;14.63
0.030021;2388.34;22.04;11.68
0.031021;2381.53;22.76;17.31
0.032021;2380.83;23.49;16.44
0.033021;2380.89;24.21;15.96
0.034021;2377.55;24.94;14.55
0.035021;2374.02;25.66;13.10
0.036021;2370.75;26.39;11.01
0.037021;2370.82;27.11;14.09
0.038021;2373.61;27.83;10.81
0.039021;2366.76;28.55;13.77
0.040021;2369.27;29.28;11.70
0.041021;2366.16;30.00;12.39
0.042021;2358.81;30.72;7.97
0.043021;2363.75;31.44;11.54
0.044021;2358.07;32.16;10.90
0.045021;2360.55;32.88;10.12
0.046021;2363.51;33.60;9.76
0.052021;2356.50;37.91;7.65
0.053021;2367.61;38.63;10.32
0.065021;2381.99;47.32;8.77
0.073021;2389.15;53.14;9.81
