sep=;
Device ID;LBR-0013797;;
Series No;0044
Shot No;0004

Time (s);Vel (fps);Dist (m);SNR
0.000000;2423.97;0.00;-
0.008021;2408.24;5.90;35.71
0.009021;2407.36;6.63;36.36
0.010021;2410.33;7.37;30.12
0.011021;2403.70;8.10;37.05
0.012021;2401.93;8.83;36.57
0.013021;2400.60;9.57;35.13
0.014021;2398.93;10.30;33.48
0.015021;2396.97;11.03;32.86
0.016021;2395.92;11.76;31.72
0.017021;2393.54;12.49;30.58
0.018021;2391.83;13.22;30.01
0.019021;2391.51;13.95;26.78
0.020021;2389.12;14.68;26.46
0.021021;2386.78;15.40;25.87
0.022021;2385.73;16.13;25.00
0.023021;2383.80;16.86;24.56
0.024021;2381.49;17.58;23.58
0.025021;2380.15;18.31;23.30
0.026021;2378.47;19.03;23.16
0.027021;2376.59;19.76;21.49
0.028021;2375.83;20.48;20.78
0.029021;2371.95;21.21;18.80
0.030021;2370.33;21.93;19.67
0.031021;2369.14;22.65;20.51
0.032021;2366.93;23.37;19.49
0.033021;2367.38;24.10;18.53
0.034021;2362.96;24.82;16.13
0.035021;2363.46;25.54;13.86
0.036021;2359.50;26.26;16.15
0.037021;2359.68;26.98;14.38
0.038021;2355.14;27.69;12.78
0.039021;2356.59;28.41;11.38
0.040021;2351.70;29.13;12.72
0.041021;2352.33;29.85;14.51
0.042021;2351.62;30.56;12.60
0.044021;2349.83;32.00;14.82
0.045021;2341.77;32.71;12.56
0.046021;2348.08;33.43;14.85
0.047021;2343.09;34.14;12.31
0.049021;2338.32;35.57;13.07
0.050021;2332.83;36.28;10.84
0.052021;2339.27;37.70;8.03
0.053021;2324.64;38.41;12.49
0.054021;2333.89;39.12;10.75
0.055021;2333.61;39.84;7.75
0.057021;2329.23;41.26;7.38
0.058021;2324.10;41.97;10.50
0.061021;2320.82;44.09;7.76
0.062021;2313.83;44.80;8.65
0.065021;2312.74;46.91;7.65
0.066021;2314.86;47.62;8.18
