sep=;
"ShotNumber";"SeriesName";"SeriesNumber";"Dx1";"Dx2";"Dx3";"Dx4";"Dx5";"V0";"Vx1";"Vx2";"Vx3";"Vx4";"Vx5";"K0";"Kx1";"Kx2";"Kx3";"Kx4";"Kx5";"ProjectileWeight";"PowerFactor";"CreationDateTime"
1;"#004";4;10;20;30;40;50;2658.6157130443953;2635.316423230891;2610.557335881092;2584.8314580641836;2559.5577370150327;2534.560756733393;2824.5541194915327;2775.264005880817;2723.361152601739;2669.9506060759845;2617.993880730428;2567.1082272182884;180.00000392383032;474.3000183105469;"2023-10-22 16:31:40"
2;"#004";4;10;20;30;40;50;2760.3201478171964;2727.4979318533474;2702.0956525026463;2677.050212549706;2652.7052351182965;2628.2619366182553;3044.792328761273;2972.813235596587;2917.697097872035;2863.860110180523;2812.0093146015965;2760.425667444091;180.00000392383032;490.86004638671875;"2023-10-22 16:31:56"
3;"#004";4;10;20;30;40;50;2665.2322603961425;2642.046710637592;2617.9768720010884;2592.8517339110504;2568.090243602344;2543.62511822556;2838.6306568173422;2789.4575010855847;2738.8634289023216;2686.545082145177;2635.4775909964555;2585.502582743657;180.00000392383032;475.5600280761719;"2023-10-22 16:33:01"
4;"#004";4;10;20;30;40;50;2713.709353149074;2689.576236594674;2665.312158779816;2640.0436441416314;2615.7421202171317;2591.0242836619113;2942.83172302998;2890.723039769278;2838.8008524166034;2785.229452602285;2734.1895391988883;2682.7594454347436;180.00000392383032;484.2000427246094;"2023-10-22 16:33:10"
5;"#004";4;10;20;30;40;50;2633.2546844882727;2614.284725639745;2593.325717555551;2570.6994564827164;2548.0463623687483;2525.5572702002155;2770.923251184024;2731.143609795002;2687.5273942471945;2640.835670145859;2594.4984624275485;2548.902411930979;180.00000392383032;470.52001953125;"2023-10-22 16:33:22"
