sep=;
Device ID;LBR-0013797;;
Series No;0050
Shot No;0008

Time (s);Vel (fps);Dist (m);SNR
0.000000;2331.13;0.00;-
0.008021;2319.78;5.67;36.70
0.009021;2319.09;6.38;37.28
0.010021;2318.05;7.08;36.01
0.011021;2322.11;7.79;31.52
0.012021;2315.12;8.50;38.25
0.013021;2313.66;9.20;37.83
0.014021;2313.45;9.91;38.11
0.015021;2311.40;10.61;36.85
0.016021;2310.48;11.32;36.88
0.017021;2309.77;12.02;35.37
0.018021;2307.68;12.73;33.32
0.019021;2306.43;13.43;32.31
0.020021;2305.96;14.13;31.71
0.021021;2304.49;14.83;30.99
0.022021;2302.42;15.54;31.29
0.023021;2302.97;16.24;29.29
0.024021;2301.46;16.94;28.49
0.025021;2299.38;17.64;29.03
0.026021;2297.57;18.34;28.42
0.027021;2297.61;19.04;26.71
0.028021;2296.37;19.74;25.62
0.029021;2292.99;20.44;26.61
0.030021;2293.21;21.14;26.91
0.031021;2292.21;21.84;23.78
0.032021;2289.64;22.54;23.38
0.033021;2289.62;23.24;21.21
0.034021;2288.79;23.93;22.58
0.035021;2286.05;24.63;21.39
0.036021;2290.52;25.33;21.11
0.037021;2282.33;26.03;21.17
0.038021;2282.07;26.72;21.82
0.039021;2281.00;27.42;21.07
0.040021;2283.58;28.11;19.37
0.041021;2277.58;28.81;20.57
0.042021;2276.59;29.50;19.03
0.043021;2279.75;30.20;17.62
0.044021;2273.78;30.89;17.22
0.045021;2273.39;31.58;17.82
0.046021;2271.31;32.27;17.21
0.047021;2270.63;32.97;17.70
0.048021;2270.23;33.66;18.81
0.049021;2271.23;34.35;15.32
0.050021;2269.06;35.04;13.94
0.051021;2262.18;35.73;13.86
0.052021;2269.34;36.42;9.97
0.053021;2264.49;37.12;8.93
0.054021;2267.38;37.81;11.55
0.056021;2256.25;39.18;12.31
0.057021;2256.28;39.87;16.07
0.058021;2259.08;40.56;17.85
0.059021;2256.91;41.25;16.81
0.060021;2253.63;41.94;18.51
0.061021;2254.06;42.62;14.46
0.062021;2253.69;43.31;14.12
0.064021;2242.10;44.68;10.74
0.065021;2252.81;45.37;13.58
0.067021;2255.28;46.74;10.31
0.070021;2258.28;48.80;9.02
0.075021;2245.13;52.23;10.81
0.077021;2245.52;53.60;11.47
0.078021;2241.06;54.29;11.36
0.079021;2255.01;54.97;9.60
