sep=;
Device ID;LBR-0013797;;
Series No;0048
Shot No;0006

Time (s);Vel (fps);Dist (m);SNR
0.000000;2463.53;0.00;-
0.008021;2453.20;6.00;38.03
0.009021;2452.03;6.75;36.68
0.010021;2451.26;7.49;36.55
0.011021;2449.93;8.24;35.19
0.012021;2449.33;8.99;34.01
0.013021;2449.22;9.73;33.66
0.014021;2447.49;10.48;32.90
0.015021;2446.93;11.23;32.02
0.016021;2440.64;11.97;32.59
0.017021;2440.92;12.71;29.76
0.018021;2439.65;13.46;26.64
0.019021;2437.51;14.20;31.98
0.020021;2436.60;14.94;31.11
0.021021;2445.48;15.69;22.82
0.022021;2434.75;16.43;32.47
0.023021;2434.80;17.17;27.91
0.024021;2433.76;17.92;19.15
0.025021;2431.32;18.66;24.98
0.026021;2429.07;19.40;34.51
0.027021;2422.69;20.14;25.56
0.028021;2428.56;20.88;26.94
0.029021;2422.16;21.62;17.97
0.030021;2427.80;22.36;27.40
0.031021;2428.85;23.10;25.29
0.032021;2428.39;23.84;22.89
0.033021;2425.92;24.58;23.03
0.034021;2426.84;25.32;19.52
0.035021;2424.64;26.05;13.48
0.036021;2420.14;26.79;19.95
0.037021;2422.26;27.53;20.34
0.038021;2425.17;28.27;12.63
0.039021;2420.09;29.01;16.84
0.040021;2421.15;29.75;21.95
0.041021;2419.31;30.48;22.92
0.042021;2414.07;31.22;20.96
0.043021;2415.31;31.96;12.77
0.044021;2414.81;32.69;8.18
0.045021;2412.59;33.43;15.99
0.046021;2422.38;34.16;10.50
0.047021;2412.25;34.90;10.65
0.048021;2408.78;35.64;19.29
0.049021;2410.12;36.37;17.93
0.050021;2404.13;37.10;17.34
0.051021;2400.29;37.84;15.57
0.052021;2404.81;38.57;18.78
0.053021;2407.71;39.30;17.64
0.054021;2402.86;40.04;21.18
0.055021;2403.25;40.77;25.40
0.056021;2401.20;41.50;24.84
0.057021;2401.92;42.23;23.02
0.058021;2402.04;42.96;16.39
0.059021;2405.99;43.70;12.61
0.060021;2397.49;44.43;14.65
0.061021;2395.73;45.16;17.80
0.062021;2398.66;45.89;15.52
0.063021;2403.73;46.62;11.17
0.065021;2411.27;48.09;8.06
0.066021;2395.54;48.82;8.27
0.069021;2397.45;51.01;9.36
0.070021;2385.73;51.74;9.34
0.071021;2386.35;52.47;11.54
0.073021;2383.89;53.92;13.69
0.074021;2386.32;54.65;14.69
0.075021;2384.68;55.38;13.13
0.076021;2381.83;56.10;11.65
0.077021;2379.35;56.83;13.80
0.078021;2381.32;57.56;13.39
0.079021;2380.62;58.28;13.40
0.080021;2381.06;59.01;11.26
