sep=;
Device ID;LBR-0013797;;
Series No;0048
Shot No;0005

Time (s);Vel (fps);Dist (m);SNR
0.000000;2468.42;0.00;-
0.008021;2457.17;6.01;37.85
0.009021;2456.26;6.76;36.09
0.010021;2455.71;7.51;35.49
0.011021;2453.95;8.25;33.76
0.012021;2453.02;9.00;32.45
0.013021;2452.95;9.75;32.72
0.014021;2451.99;10.50;31.75
0.015021;2452.53;11.24;31.34
0.016021;2445.45;11.99;32.07
0.017021;2444.08;12.74;29.75
0.018021;2447.39;13.48;26.18
0.019021;2441.74;14.23;31.52
0.020021;2440.95;14.97;28.34
0.021021;2445.93;15.72;22.09
0.022021;2438.56;16.46;32.31
0.023021;2440.13;17.20;24.55
0.024021;2432.99;17.95;17.83
0.025021;2433.64;18.69;28.90
0.026021;2432.65;19.43;32.18
0.027021;2422.37;20.17;24.37
0.028021;2429.83;20.91;24.51
0.029021;2432.40;21.65;20.63
0.030021;2430.91;22.39;28.03
0.031021;2434.04;23.13;22.51
0.032021;2429.91;23.87;22.90
0.033021;2428.80;24.61;22.33
0.034021;2433.66;25.36;16.11
0.035021;2430.73;26.10;15.21
0.036021;2427.36;26.84;20.49
0.037021;2427.58;27.58;18.76
0.038021;2430.44;28.32;13.19
0.039021;2425.54;29.06;18.93
0.040021;2423.34;29.80;23.65
0.041021;2422.58;30.53;22.10
0.042021;2416.84;31.27;18.33
0.045021;2416.28;33.48;16.04
0.046021;2420.90;34.22;9.49
0.047021;2414.51;34.96;17.46
0.048021;2414.17;35.69;16.07
0.049021;2408.37;36.43;13.88
0.050021;2402.83;37.16;9.89
0.051021;2407.47;37.89;17.70
0.052021;2407.52;38.63;17.91
0.053021;2409.97;39.36;21.17
0.054021;2406.67;40.10;23.47
0.055021;2406.81;40.83;24.57
0.056021;2405.01;41.56;21.69
0.057021;2409.58;42.30;14.84
0.059021;2407.42;43.76;8.30
0.061021;2398.51;45.23;13.83
0.064021;2395.31;47.42;8.21
0.069021;2399.23;51.07;11.41
0.070021;2393.15;51.80;14.73
0.071021;2392.38;52.53;12.03
0.072021;2389.56;53.26;12.80
0.073021;2389.14;53.99;11.38
0.074021;2390.14;54.72;10.31
0.075021;2385.46;55.45;10.72
0.076021;2378.63;56.17;13.40
0.077021;2386.95;56.90;8.28
