sep=;
Device ID;LBR-0013797;;
Series No;0051
Shot No;0008

Time (s);Vel (fps);Dist (m);SNR
0.000000;2534.60;0.00;-
0.007021;2524.88;5.40;31.06
0.008021;2522.78;6.17;40.35
0.009021;2521.82;6.94;39.78
0.010021;2520.22;7.71;39.11
0.011021;2519.04;8.48;38.46
0.012021;2517.36;9.24;37.46
0.013021;2517.02;10.01;35.63
0.014021;2515.91;10.78;34.95
0.015021;2513.41;11.55;33.97
0.016021;2513.24;12.31;33.58
0.017021;2511.86;13.08;32.76
0.018021;2511.46;13.84;31.69
0.019021;2508.83;14.61;30.59
0.020021;2505.74;15.37;30.21
0.021021;2506.99;16.14;28.61
0.022021;2506.90;16.90;27.44
0.023021;2502.81;17.66;27.81
0.024021;2501.65;18.43;27.33
0.025021;2502.22;19.19;24.61
0.026021;2499.69;19.95;26.39
0.027021;2497.37;20.71;26.21
0.028021;2496.42;21.47;22.94
0.029021;2494.68;22.23;20.49
0.030021;2495.09;23.00;20.21
0.031021;2491.99;23.76;20.33
0.032021;2493.79;24.52;16.98
0.033021;2489.71;25.27;19.65
0.034021;2488.05;26.03;21.32
0.035021;2485.98;26.79;20.33
0.036021;2485.85;27.55;19.40
0.037021;2486.07;28.31;15.38
0.038021;2484.51;29.06;15.97
0.039021;2483.44;29.82;15.30
0.040021;2481.69;30.58;18.10
0.041021;2477.19;31.33;17.44
0.042021;2480.17;32.09;16.91
0.043021;2476.33;32.84;13.51
0.044021;2475.94;33.60;14.89
0.045021;2468.39;34.35;10.41
0.046021;2467.85;35.11;10.85
0.047021;2470.47;35.86;8.57
0.048021;2472.81;36.61;9.12
0.049021;2468.54;37.36;14.45
0.050021;2468.72;38.12;19.31
0.051021;2463.72;38.87;16.29
0.052021;2462.10;39.62;15.45
0.053021;2464.13;40.37;15.64
0.054021;2458.46;41.12;8.50
0.055021;2457.88;41.87;7.70
0.056021;2464.15;42.62;8.09
0.060021;2450.16;45.61;8.13
0.061021;2436.62;46.36;8.55
0.064021;2453.02;48.60;10.11
0.067021;2448.41;50.84;11.14
0.068021;2439.61;51.58;10.97
0.069021;2442.49;52.33;10.73
0.070021;2436.48;53.07;12.19
0.071021;2442.93;53.81;12.54
0.072021;2438.21;54.56;13.41
0.073021;2438.21;55.30;8.48
0.076021;2429.04;57.52;10.37
0.077021;2431.51;58.27;11.06
0.078021;2428.26;59.01;9.71
