sep=;
Device ID;LBR-0013797;;
Series No;0051
Shot No;0004

Time (s);Vel (fps);Dist (m);SNR
0.000000;2460.20;0.00;-
0.008021;2448.72;5.99;34.37
0.009021;2447.88;6.74;34.74
0.010021;2447.93;7.48;35.41
0.011021;2445.37;8.23;37.82
0.012021;2444.51;8.97;36.34
0.013021;2443.40;9.72;35.56
0.014021;2441.95;10.46;35.47
0.015021;2441.21;11.21;34.34
0.016021;2439.90;11.95;33.13
0.017021;2437.74;12.69;32.23
0.018021;2435.89;13.44;30.29
0.019021;2435.60;14.18;28.93
0.020021;2434.03;14.92;27.19
0.021021;2432.22;15.66;27.97
0.022021;2432.07;16.40;26.33
0.023021;2431.54;17.15;24.19
0.024021;2428.24;17.89;25.32
0.025021;2427.30;18.63;24.93
0.026021;2427.77;19.37;21.26
0.027021;2426.01;20.11;21.42
0.028021;2423.05;20.85;23.40
0.029021;2422.20;21.58;24.48
0.030021;2419.96;22.32;22.09
0.031021;2420.07;23.06;20.41
0.032021;2416.83;23.80;19.86
0.033021;2416.59;24.53;17.39
0.034021;2417.61;25.27;15.18
0.035021;2414.41;26.01;17.93
0.036021;2415.27;26.74;17.84
0.037021;2411.10;27.48;16.24
0.038021;2410.07;28.21;17.71
0.039021;2407.38;28.95;16.84
0.040021;2408.85;29.68;17.08
0.041021;2408.89;30.41;17.14
0.042021;2405.01;31.15;14.92
0.043021;2403.38;31.88;16.27
0.044021;2401.39;32.61;14.30
0.045021;2401.64;33.35;15.49
0.046021;2401.53;34.08;14.45
0.047021;2398.99;34.81;15.03
0.048021;2397.57;35.54;10.34
0.049021;2403.98;36.27;11.08
0.052021;2393.22;38.46;10.56
0.053021;2387.12;39.19;12.63
0.054021;2391.42;39.92;15.43
0.055021;2386.17;40.65;14.80
0.056021;2386.36;41.38;12.49
0.057021;2384.52;42.10;13.08
0.058021;2387.53;42.83;10.79
0.059021;2389.04;43.56;7.55
0.060021;2388.32;44.29;11.69
0.066021;2375.85;48.64;7.97
0.068021;2375.24;50.09;7.99
0.069021;2369.08;50.82;9.63
0.073021;2382.11;53.71;8.59
