sep=;
Device ID;LBR-0013797;;
Series No;0010
Shot No;0005

Time (s);Vel (fps);Dist (m);SNR
0.000000;2652.81;0.00;-
0.007021;2644.89;5.66;34.20
0.008021;2643.81;6.47;33.16
0.009021;2642.83;7.27;33.77
0.010021;2642.14;8.08;30.88
0.011021;2640.15;8.89;31.97
0.012021;2638.61;9.69;31.83
0.013021;2638.47;10.49;29.85
0.014021;2637.84;11.30;30.06
0.015021;2638.45;12.10;29.00
0.016021;2635.67;12.91;29.13
0.017021;2637.53;13.71;26.43
0.018021;2630.74;14.51;28.69
0.019021;2633.17;15.31;24.86
0.020021;2631.36;16.12;26.09
0.021021;2630.48;16.92;24.40
0.022021;2631.04;17.72;24.79
0.023021;2628.73;18.52;23.17
0.024021;2627.02;19.32;23.93
0.025021;2626.32;20.12;24.02
0.026021;2624.11;20.92;20.49
0.027021;2622.04;21.72;14.97
0.028021;2621.73;22.52;21.29
0.029021;2622.10;23.32;22.29
0.030021;2621.11;24.12;20.90
0.031021;2619.87;24.92;20.16
0.032021;2620.41;25.72;21.28
0.033021;2619.62;26.52;19.76
0.034021;2618.88;27.32;15.32
0.035021;2616.12;28.11;17.16
0.036021;2616.54;28.91;16.78
0.037021;2611.64;29.71;21.44
0.038021;2613.10;30.50;18.40
0.039021;2611.13;31.30;15.54
0.040021;2612.57;32.10;13.84
0.041021;2610.99;32.89;15.33
0.042021;2611.62;33.69;12.95
0.043021;2608.20;34.48;11.83
0.044021;2609.75;35.28;10.26
0.045021;2603.68;36.07;16.10
0.046021;2604.52;36.87;16.78
0.047021;2602.42;37.66;19.19
0.048021;2603.93;38.45;18.21
0.049021;2602.06;39.25;16.22
0.050021;2599.85;40.04;19.61
0.051021;2599.32;40.83;15.79
0.052021;2602.94;41.63;9.42
0.054021;2599.27;43.21;8.86
0.055021;2596.86;44.00;11.78
0.056021;2599.20;44.79;11.51
0.063021;2588.83;50.33;12.14
0.064021;2588.64;51.12;10.64
0.065021;2586.94;51.91;16.51
0.066021;2585.90;52.70;17.02
0.067021;2583.46;53.48;15.96
0.068021;2583.99;54.27;16.33
0.069021;2582.38;55.06;16.93
0.070021;2583.96;55.85;18.34
0.071021;2579.92;56.63;14.90
0.072021;2575.65;57.42;14.85
0.073021;2576.63;58.20;12.55
0.074021;2576.32;58.99;10.07
0.075021;2567.38;59.77;7.05
