sep=;
Device ID;LBR-0013797;;
Series No;0010
Shot No;0002

Time (s);Vel (fps);Dist (m);SNR
0.000000;2606.92;0.00;-
0.007021;2599.33;5.57;37.27
0.008021;2599.01;6.36;35.47
0.009021;2597.89;7.15;35.28
0.010021;2597.00;7.94;35.92
0.011021;2596.47;8.73;33.28
0.012021;2595.01;9.53;33.52
0.013021;2593.07;10.32;31.48
0.014021;2592.59;11.11;31.89
0.015021;2591.70;11.90;31.57
0.016021;2591.10;12.69;30.37
0.017021;2588.93;13.48;30.98
0.018021;2587.53;14.27;30.26
0.019021;2590.20;15.05;28.17
0.020021;2588.00;15.84;28.87
0.021021;2586.54;16.63;27.99
0.022021;2586.02;17.42;27.52
0.023021;2585.28;18.21;25.81
0.024021;2584.72;19.00;25.56
0.025021;2583.01;19.78;26.33
0.026021;2581.19;20.57;27.83
0.027021;2578.94;21.36;25.63
0.028021;2577.14;22.14;20.79
0.029021;2577.23;22.93;25.48
0.030021;2577.51;23.71;24.98
0.031021;2576.80;24.50;25.82
0.032021;2576.60;25.29;24.02
0.033021;2573.68;26.07;24.12
0.034021;2574.85;26.85;22.13
0.035021;2574.88;27.64;21.02
0.036021;2572.78;28.42;19.00
0.037021;2572.53;29.21;17.84
0.038021;2568.62;29.99;23.70
0.039021;2568.79;30.77;24.63
0.040021;2568.29;31.56;20.53
0.041021;2569.01;32.34;19.10
0.042021;2566.39;33.12;19.44
0.043021;2565.95;33.91;18.85
0.044021;2566.28;34.69;17.64
0.045021;2564.98;35.47;15.01
0.046021;2563.33;36.25;14.39
0.047021;2561.48;37.03;18.57
0.048021;2560.56;37.81;20.39
0.049021;2560.09;38.59;22.39
0.050021;2558.79;39.37;23.33
0.051021;2556.46;40.15;22.96
0.052021;2558.46;40.93;22.44
0.053021;2553.16;41.71;20.41
0.054021;2557.17;42.49;19.99
0.055021;2553.09;43.27;14.25
0.056021;2557.02;44.05;11.18
0.057021;2555.43;44.83;11.16
0.058021;2550.79;45.60;12.96
0.059021;2550.98;46.38;16.22
0.060021;2549.62;47.16;10.51
0.061021;2547.76;47.94;14.41
0.062021;2548.59;48.71;13.98
0.063021;2546.45;49.49;8.90
0.064021;2554.04;50.27;7.27
0.065021;2548.97;51.04;11.55
0.066021;2542.59;51.82;10.18
0.067021;2541.90;52.60;16.27
0.068021;2540.85;53.37;20.04
0.069021;2539.13;54.14;20.49
0.070021;2539.76;54.92;22.49
0.071021;2538.08;55.69;22.11
0.072021;2538.73;56.47;22.53
0.073021;2536.13;57.24;19.88
0.074021;2536.15;58.01;20.32
0.075021;2535.08;58.79;20.01
0.076021;2536.47;59.56;19.72
