sep=;
Device ID;LBR-0013797;;
Series No;0052
Shot No;0005

Time (s);Vel (fps);Dist (m);SNR
0.000000;2485.34;0.00;-
0.008021;2466.80;6.04;34.59
0.009021;2473.32;6.79;29.80
0.010021;2464.93;7.54;38.81
0.011021;2463.60;8.29;37.89
0.012021;2462.08;9.05;37.48
0.013021;2461.50;9.80;36.18
0.014021;2460.69;10.55;35.96
0.015021;2458.98;11.30;34.70
0.016021;2457.91;12.04;33.09
0.017021;2456.03;12.79;30.87
0.018021;2454.73;13.54;30.76
0.019021;2452.94;14.29;29.64
0.020021;2453.02;15.04;30.08
0.021021;2451.21;15.79;29.53
0.022021;2449.64;16.53;27.77
0.023021;2450.35;17.28;25.38
0.024021;2446.71;18.03;25.80
0.025021;2445.89;18.77;24.33
0.026021;2446.12;19.52;22.48
0.027021;2443.64;20.26;24.06
0.028021;2440.90;21.01;24.83
0.029021;2440.30;21.75;23.78
0.030021;2440.04;22.49;22.64
0.031021;2436.91;23.24;21.46
0.032021;2436.78;23.98;19.25
0.033021;2436.48;24.72;16.54
0.034021;2436.88;25.46;15.55
0.035021;2430.83;26.21;18.28
0.036021;2432.23;26.95;20.14
0.037021;2429.71;27.69;18.62
0.038021;2428.79;28.43;19.65
0.039021;2428.60;29.17;19.47
0.040021;2427.90;29.91;13.70
0.041021;2428.17;30.65;16.28
0.042021;2423.68;31.39;16.05
0.043021;2422.74;32.13;15.99
0.044021;2420.45;32.87;15.58
0.045021;2421.36;33.60;14.56
0.046021;2417.53;34.34;14.14
0.047021;2417.38;35.08;13.45
0.048021;2405.76;35.81;8.67
0.050021;2405.50;37.28;9.49
0.051021;2419.15;38.01;9.92
0.052021;2416.37;38.75;9.28
0.053021;2411.09;39.49;15.92
0.054021;2408.89;40.22;16.09
0.055021;2405.94;40.96;17.43
0.056021;2406.64;41.69;15.49
0.057021;2399.38;42.42;14.48
0.058021;2408.16;43.15;10.42
0.059021;2391.80;43.89;10.48
0.060021;2400.40;44.62;10.20
0.062021;2414.92;46.08;7.33
0.074021;2419.72;54.93;7.20
