sep=;
Device ID;LBR-0013797;;
Series No;0052
Shot No;0001

Time (s);Vel (fps);Dist (m);SNR
0.000000;2329.51;0.00;-
0.008021;2317.46;5.67;38.15
0.009021;2316.98;6.38;36.11
0.010021;2315.84;7.08;36.15
0.011021;2321.49;7.79;31.09
0.012021;2312.73;8.50;39.27
0.013021;2311.95;9.20;38.95
0.014021;2311.40;9.91;38.10
0.015021;2310.05;10.61;37.20
0.016021;2309.47;11.32;37.30
0.017021;2307.64;12.02;35.52
0.018021;2301.92;12.72;34.28
0.019021;2304.22;13.42;33.77
0.020021;2304.03;14.13;32.25
0.021021;2301.88;14.83;32.42
0.022021;2300.44;15.53;30.89
0.023021;2300.22;16.23;30.65
0.024021;2299.32;16.93;29.84
0.025021;2297.05;17.63;28.80
0.026021;2295.77;18.33;28.60
0.027021;2295.77;19.03;27.09
0.028021;2294.42;19.73;25.42
0.029021;2292.14;20.43;26.93
0.030021;2290.31;21.13;27.41
0.031021;2291.42;21.83;25.43
0.032021;2289.97;22.53;23.53
0.033021;2287.87;23.22;22.19
0.034021;2285.35;23.92;21.70
0.035021;2285.78;24.62;21.52
0.036021;2284.39;25.31;18.47
0.037021;2281.26;26.01;21.31
0.038021;2282.44;26.70;20.78
0.039021;2277.25;27.40;20.78
0.040021;2278.54;28.09;19.76
0.041021;2276.68;28.79;20.57
0.042021;2275.21;29.48;20.55
0.043021;2276.50;30.17;17.23
0.044021;2275.41;30.87;17.07
0.045021;2273.29;31.56;20.67
0.046021;2272.02;32.25;20.62
0.047021;2270.86;32.95;15.57
0.048021;2266.21;33.64;17.29
0.049021;2266.61;34.33;19.65
0.050021;2264.14;35.02;13.73
0.051021;2263.83;35.71;13.95
0.052021;2263.97;36.40;11.08
0.053021;2258.62;37.09;12.69
0.054021;2270.26;37.78;12.19
0.055021;2258.81;38.47;9.65
0.056021;2261.33;39.16;11.52
0.057021;2258.41;39.85;16.40
0.058021;2254.54;40.53;17.62
0.059021;2256.05;41.22;18.43
0.060021;2252.85;41.91;18.61
0.061021;2254.30;42.60;18.48
0.062021;2252.37;43.28;12.41
0.063021;2251.42;43.97;13.57
0.064021;2246.67;44.65;10.74
0.066021;2244.24;46.02;10.35
0.068021;2250.72;47.39;10.31
0.069021;2254.68;48.08;8.92
0.072021;2248.02;50.14;7.53
0.073021;2242.54;50.82;8.01
0.075021;2237.76;52.19;8.14
0.076021;2234.31;52.87;11.38
0.078021;2234.86;54.23;11.18
0.082021;2230.46;56.95;12.38
0.083021;2227.78;57.63;11.72
0.084021;2233.69;58.31;7.34
0.085021;2219.82;58.99;9.87
0.086021;2220.80;59.67;11.58
