Device ID,LBR-0013797,,                                     ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Series No,19,,                                            ,,,,,,,,,,,,,
Total number of shots,4,,                                ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Units velocity,fps,,                                        ,,,,,,,,,,,,,
Units distances,m,,                                         ,,,,,,,,,,,,,
Units kinetic energy,ft-lbf,,                               ,,,,,,,,,,,,,
Units weight,grain (gr),,                                   ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Stats - Average,2000.83,fps,                                ,,,,,,,,,,,,,
Stats - Highest,2041.42,fps,                                ,,,,,,,,,,,,,
Stats - Lowest,1966.37,fps,                                 ,,,,,,,,,,,,,
Stats - Ext. Spread,75.06,fps,                              ,,,,,,,,,,,,,
Stats - Std. Dev,31.17,fps,                                 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shot ID,V0,V10,V19,V19,V41,V50,Ke0,Ke10,Ke19,Ke19,Ke41,Ke50,PF10,Proj. Weight,Date,Time
1,1966,1943,1921,1921,1869,1852,343,335,327,327,310,304,77.72,40,8/29/2020,15:37:33
2,2003,1979,1958,1958,1904,1882,356,347,340,340,322,314,79.16,40,8/29/2020,15:37:41
3,1992,1968,1946,1946,1892,1870,352,344,336,336,318,310,78.72,40,8/29/2020,15:37:49
4,2041,2017,1995,1995,1940,1922,370,361,353,353,334,328,80.68,40,8/29/2020,15:38:03
