sep=;
Device ID;LBR-0013797;;
Series No;0009
Shot No;0001

Time (s);Vel (fps);Dist (m);SNR
0.000000;2577.27;0.00;-
0.007021;2569.13;5.50;25.77
0.008021;2569.33;6.29;26.23
0.009021;2567.79;7.07;25.96
0.010021;2567.08;7.85;25.81
0.011021;2566.98;8.64;25.12
0.012021;2564.26;9.42;23.29
0.013021;2565.09;10.20;23.33
0.014021;2563.17;10.98;23.39
0.015021;2562.32;11.76;22.92
0.016021;2560.31;12.54;22.18
0.017021;2561.06;13.32;21.70
0.018021;2560.50;14.10;19.09
0.019021;2555.23;14.88;21.28
0.020021;2559.43;15.66;18.66
0.021021;2555.32;16.44;19.24
0.022021;2556.73;17.22;19.33
0.023021;2554.73;18.00;18.12
0.024021;2555.08;18.78;17.00
0.025021;2552.83;19.56;18.64
0.026021;2552.21;20.34;19.66
0.027021;2551.10;21.11;18.28
0.028021;2539.04;21.89;10.99
0.029021;2544.12;22.66;17.77
0.030021;2553.60;23.44;14.31
0.031021;2546.62;24.22;17.07
0.032021;2546.89;24.99;17.04
0.033021;2544.96;25.77;15.61
0.034021;2544.11;26.55;13.79
0.035021;2544.54;27.32;10.35
0.036021;2544.80;28.10;11.61
0.037021;2541.02;28.87;10.69
0.038021;2537.57;29.65;11.09
0.039021;2537.15;30.42;15.88
0.040021;2538.76;31.19;13.65
0.041021;2541.72;31.97;7.10
0.042021;2534.39;32.74;10.91
0.043021;2527.98;33.51;12.94
0.044021;2539.89;34.28;9.27
0.045021;2533.14;35.06;9.38
0.046021;2542.18;35.83;8.97
0.048021;2531.99;37.38;13.77
0.049021;2532.40;38.15;13.99
0.050021;2531.62;38.92;14.49
0.051021;2529.49;39.69;14.61
0.052021;2525.81;40.46;14.70
0.053021;2528.08;41.23;13.74
0.054021;2527.41;42.00;10.89
0.055021;2531.26;42.77;9.66
0.056021;2530.75;43.55;9.14
0.064021;2523.46;49.71;8.70
0.066021;2518.41;51.24;7.72
0.067021;2511.76;52.01;8.89
0.068021;2519.05;52.78;8.25
0.069021;2506.23;53.54;10.02
0.070021;2511.63;54.31;10.88
0.072021;2508.38;55.84;11.72
0.074021;2510.78;57.37;10.69
0.075021;2507.08;58.13;8.19
0.077021;2504.22;59.66;12.47
